name,price,status,shipping,free_returns,items_sold
"New ListingChristmas Teddy Bear Stuffed Plush Brown Ty Yukon 2 Tone Big Eyes 9""",1699,Pre-Owned,0,False,
"New ListingChristmas Teddy Bear Stuffed Plush Brown pro Flowers Red Bow 9"" Soft Eyes",1699,Pre-Owned,0,False,
"Days Gone Zombie Rager Teddie Bear 10"" Plush Figure w/ Zipper Pouch & 3 Charms",1495,Brand New,0,True,
"New ListingAurora Get Well Soon Teddy Bear Plush 12"" Brown Band aid Ice Pack Soft Toy",2199,Pre-Owned,0,False,
"New ListingBatman Teddy Bear Malone DC Comics Gund Plush Stuffed Animal Blue Cape 14""",1500,Pre-Owned,0,True,
"New ListingHersheys Teddy Bear Plush Hugs 'N Kisses 16"" ",1200,Pre-Owned,0,True,
"New ListingTeddy Bear Stuffed Plush Brown 82 Dave And Busters jersey 12""",1954,Pre-Owned,0,False,
New ListingGanz Watermarks Bear Plush Colorful Baby Unique Teddy Bear Animal Cute VHTF,1199,Pre-Owned,0,False,
New Listing Purple Stuffed Teddy Bear Kuddle Me Toys Plush Purple Bear 10.5,1695,Pre-Owned,0,False,
M&M Plush Brown Teddy Bear with Jacket Stuffed Animal Toy 7 inch Galerie,899,Pre-Owned,0,False,
New ListingVintage Fuzzy Plush Brown Weighted Teddy Bear Quilted Bib Ribbon Accessories,2000,Pre-Owned,0,False,
Trapper Shoes Teddy Bear Plush,695,Pre-Owned,0,False,
"New ListingGund Wish  Teddy Bear Stuffed Plush Brown Love Follow Your Heart 12"" May ",1954,Pre-Owned,0,False,
Avon Teddy Bear Plush 2015 Red Sweaters Brown Stuffed Animal Soft Lovey Toy 18”,699,Pre-Owned,0,True,
New Listingvintage teddy bear 13” love you nana Adorable Grandmother Gift Birthday Mother’s,999,Pre-Owned,0,False,
"New ListingHugfun Teddy Bear Plush 11"" Stuffed Animal Blue Pink Bow",1799,Pre-Owned,0,True,
"Rainbow Tie Dye Print T-Shirt Top Teddy Bear Clothes Fits Most 14"" - 18"" Build-a",1399,Brand New,0,False,
"Burton & Burton ""Happy Valentine's Day"" Red & White Teddy Bear Plush. New w/Tag.",1247,Brand New,0,False,
"🧸Harrods Knightsbridge Teddy Bear Plush in Green Velour Hoodie 8"" Sitting🧸",1599,Pre-Owned,0,True,
"New ListingTeddy Bear Plush 13"" Nylon Racing Motorsports 1998 Stuffed Animal Toy",2395,Pre-Owned,0,True,
"4"" Sitting COLORS OF FAITH BEAR animal teddy Plush Stuffed - FAST FREE SHIPPING ",840,Brand New,0,False,
First & Main Plush Tan Angel Bear Roses White Wings  Teddy Bear  #1304,875,Pre-Owned,0,False,
"New ListingVINTAGE KIDS OF AMERICA 14"" CHRISTMAS TEDDY w/HANG TAG PLUSH STUFFED GIRL BEAR ",1500,Brand New,0,False,
"New ListingTeddy Bear Habitat For Humanity Stuffed Plush Brown red Shirt 11"" Home sweet",1954,Pre-Owned,0,False,
"New ListingArt's Toy Co Teddy Bear figural Plush Brown bear Vintage 1987 USA 11"" realism ",3400,Pre-Owned,0,True,
Art's Toy Teddy Bear Brown Plush Stuffed Animal Doll Rome MMIII Vintage Rare,500,Pre-Owned,0,False,
"New ListingDEMDACO Giving Bear Stuffed Animal 16"" Tall Christian Teddy PLUSH TOY NEW w/ Tag",1999,Brand New,0,True,
Chick Pea Cream Baby Ribbed Plush Teddy Bear Stuffed Animal Sewn Eyes and Face,1799,Pre-Owned,0,True,
New ListingGlorious Britain Plush Teddy Bear - London Keepsake Souvenir - Jointed Adorable ,200,Brand New,0,False,
"New ListingAuthentic Vermont Teddy Bear Plush Stuffed 18"" Red Jointed Christmas Valentine ",2195,Pre-Owned,0,False,
"New ListingChristmas Teddy Bear Stuffed Plush Brown Palace Guard 15"" Red Black ",1954,Pre-Owned,0,False,
"New ListingLimited Too Plush Winter Blue Sparkle Teddy Bear 14"" Purple Scarf Christmas Toy",1749,Pre-Owned,0,True,
New ListingVintage 1999 Commonwealth Hug Me All Over Print Beige Teddy Bear Stuffed Plush ,3495,Pre-Owned,0,True,
New ListingDaffodil days  Teddy Bear Stuffed Plush Brown American Cancer Society,1954,Pre-Owned,0,False,
New ListingVintage Ralph Lauren Polo Teddy Bear Sweater White Stuffed Plush 2002 EUC,1095,Pre-Owned,0,False,
"New Listing2 Dan Dee Christmas Bear Plush 2013 Snowflake Teddy 18""",7500,Pre-Owned,0,True,
"New ListingHug Fun Plush 14"" Stuffed Animal Pal teddy bear in pajamas",1200,Pre-Owned,0,False,
"12"" Ellis Teddy Bear Plush Image Plush Stuffed Animal",999,Pre-Owned,0,True,
New ListingHoliday Teddy Bear Plush Stuffed Animal Christmas Atrium Buying Corp Brown Red,2000,Pre-Owned,0,False,
"Vermont Teddy Bear Brown Plush Stuffed Animal 14""  ",1299,Pre-Owned,0,True,
Atlanta Braves Good Stuff MLB Baseball Plush Stuffed Teddy Bear Hat Shirt 7”,974,Pre-Owned,0,True,
Shop on eBay,2000,Brand New,0,False,
"New ListingVintage Teddy Bear Plush  Cuddle Toys 21""",1600,Pre-Owned,0,True,
"Princess Cruises Captain Stanley Teddy Bear Plush 10"" Stuffed Animal lovey toy",850,Pre-Owned,0,False,
Homerbest Teddy Bear Plush Tan Stuffed Shaggy Animal Toy Plaid Bow CLEAN,1298,Pre-Owned,0,True,
Bear Teddy Plush Giant Stuffed Toy Animals Big Soft Huge Animal Gift Kids New ,2999,Brand New,0,False,
New ListingAnimal Adventure 2017 Cream White 11” Teddy Bear Green Bow Plush Stuffed Toy,600,Pre-Owned,0,False,
"New ListingLinzy Teddy Bear Stuffed Plush Brown White Yellow Bow Tie 12"" Sitting",1699,Pre-Owned,0,False,
"Build a Bear Workshop Velvet Teddy 15"" NWT, Allergy Friendly",1271,Brand New,0,False,
"New ListingAMERICA WEGO Teddy Bear w/ Slippers Christmas Stuffed Animal 9"" Tall PLUSH TOY",2699,Pre-Owned,0,False,
Teddy’s Friends Hershey’s Kiss Bear Plush Brown And Silver Fabric.,699,Pre-Owned,0,False,
Vintage Build-a-Bear Bearemy Plush Teddy Eyebrows Stuffed Animal 16” Fabric Paws,899,Pre-Owned,0,True,
